ID,ace,af,ak,am,an,ang,ar,arc,arz,as,ast,av,ay,az,azb,ba,bar,bcl,be,be-tarask,bg,bho,bjn,bm,bn,bo,bpy,br,bs,bxr,ca,cdo,ce,ceb,chr,ckb,co,cs,csb,cv,cy,da,de,din,diq,dty,dv,ee,el,eml,en,eo,es,et,eu,ext,fa,ff,fi,fo,fr,frr,fur,fy,ga,gag,gan,gd,gl,glk,gn,gom,gsw,gu,gv,ha,hak,haw,he,hi,hif,hr,ht,hu,hy,ia,id,ig,ilo,io,is,it,ja,jam,jbo,jv,ka,kaa,kbp,kg,ki,kk,kl,km,kn,ko,koi,krc,ksh,ku,ky,la,lb,lbe,lez,lfn,lg,li,lij,lmo,ln,lo,lt,lv,lzh,mai,mdf,mg,mhr,min,mk,ml,mn,mr,ms,mt,mwl,my,myv,mzn,nah,nan,nap,nb,nds,ne,new,nl,nn,nso,nv,ny,oc,om,or,os,pa,pam,pap,pcd,pdc,pl,pms,pnb,ps,pt,qu,rmy,rn,ro,ru,rue,rup,rw,sa,sah,sat,sc,scn,sco,sd,se,sgs,sh,si,sk,sl,sn,so,sq,sr,ss,st,su,sv,sw,szl,ta,tcy,te,tg,th,ti,tk,tl,tn,tpi,tr,ts,tt,tum,tyv,udm,ug,uk,ur,uz,ve,vec,vep,vi,vls,vro,wa,war,wo,wuu,xh,xmf,yi,yo,yue,za,zea,zh,zu
DOID:0001816,,,,,,,ساركومة وعائية,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,angiosarkom,,,,,Angiosarkom,,,,,,,,angiosarcoma,,angiosarcoma,,,,,,Angiosarkooma,,Angiosarcome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,angiosarcoma,,,,,,,,,,,,,,,,,,,,Angiosarcoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,एन्जियोसार्कोमा,,,,,,,,,,,,,,,Naczyniakomięsak,,,,angiossarcoma,,,,,Ангиосаркома,,,,,,,,,,,,,,,,,,,,,,,,angiosarkom,,,,,,Ангиосаркома,,,,,,,,,,,,,,Ангіосаркома,,Angiosarkoma,,,,,,,,,,,,,,,,,,,
DOID:0002116,,,,,,,الظفرة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pterygium,,,,ލޮލަށް މަސްއެރުން,,,,pterygium,Pterigio,Pterigión,,,,ناخنک,,,,ptérygion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pterigio,翼状片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pterygium,,,,,,,ଟେରିଜିଅମ,,,,,,,Skrzydlik,Pterygium,,,pterígio,,,,,Птеригий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ต้อเนื้อ,,,,,,,,Птеригиум,,,,,,,,,,,,,,,,,,,,,,,,,翼状胬肉,
DOID:0014667,,,,,,,اضطراب استقلابي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stoffwechselstörung,,,,,,,,disease of metabolism,,,,,,اختلال متابولیک,,,,maladie métabolique,,,,,,,,,,,,,,,,,,,,,,,,,,Penyakit metabolik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gangguan metabolik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doença metabólica,,,,,метаболическое заболевание,,,,,,,,,,,,,,,,,,,,,,,,metabol sjukdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,代謝疾病,
DOID:0040002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salicylate sensitivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOID:0050011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Підшкірний мансонельоз,,,,,,,,,,,,,,,,,,,,,
DOID:0050012,,,,,,,شيكونغونيا,,,,,,,,,,,,,,Чикунгуня,,,,চিকুনগুনিয়া,,,Chikungunya,,,chikungunya,,,,,,,Chikungunya,,,,,Chikungunyafieber,,,,ޗިކުންގުންޔާ,,,,chikungunya,Ĉikungunjo,chikungunya,Chikungunya viirus,Chikungunya,,چیکونگونیا,,Chikungunya,,chikungunya,,,,,,,,Chikungunya,,,,,,,,,,Chikungunya,चिकनगुनिया,,,,,,,Chikungunya,,,Chikungunya,,chikungunya,チクングニア熱,,,Chikungunya,,,,,,,,,ಚಿಕೂನ್ ಗುನ್ಯಾ,치쿤구니아열,,,,,,,,,,,,,,,,,,,,,,,,,,ചിക്കുൻഗുനിയ,,चिकुनगुनिया,Chikungunya,,,,,,,,,chikungunya,,चिकनगुन्या,,,,,,,,,ଚିକନ‌ଗୁନିଆ‎‎,,,,Chikunguya,,,Chikungunya,,,,chicungunha,,,,Chikungunya,Чикунгунья,,,,,,,,,,,,,,චිකුන්ගුන්යා,,Vročica chikungunya,,Kaduudiye,,,,,,chikungunya,,,சிக்குன்குனியா,,చికన్‌గన్యా,,ชิคุนกุนยา,,,,,,,,,,,,,чікунгунья,,,,,,Chikungunya,,,,,,,,,,,,,,基孔肯雅熱,
DOID:0050024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ehrlichiosis ewingii infection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOID:0050025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Humane Granulozytäre Anaplasmose,,,,,,,,human granulocytic anaplasmosis,,Anaplasmosis granulocítica humana,Inimese granulotsütaarne anaplasmoos,,,,,,,anaplasmose humaine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ヒト顆粒球アナプラズマ症,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anaplazmoza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,人粒细胞无形体病,
DOID:0050026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,human monocytic ehrlichiosis,,Ehrlichiosis monocítica humana,,,,,,,,Ehrlichiose monocytique humaine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ludzka erlichioza monocytarna,,,,erliquiose monocítica humana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOID:0050035,,,,,,,حمى لدغة القرادة الإفريقية,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Twymyn Pigiad Torogen Affricanaidd,,Afrikanisches Zeckenbissfieber,,,,,,,,African tick-bite fever,,Fiebre africana por picadura de garrapatas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,アフリカダニ熱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Afrikaanse tekenkoorts,,,,,,,ଆଫ୍ରିକାନ ଟିକ ବାଇଟ ଫିଭର,,,,,,,,,,,Febre da carraça africana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
